"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",227549.80262237,-46776.46746105,42050,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",246750.86174548,-45996.05653956,42051,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",280968.69475408,-44606.23957667,42052,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",281940.82335591,-64990.7369414,42053,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",282710.7068899,-83141.75877827,42054,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",282710.81067721,-83144.20856682,42055,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",247930.36753217,-84689.10740805,42056,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",228775.50339887,-85368.72958898,42057,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brookings",34639,460787,0.08,1330,"Glacial Lakes & Prairies","46011",227549.80262237,-46776.46746105,42058,FALSE,1,"46011.1","SD","South Dakota","Brookings County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",98639.76430025,105154.3036073,42059,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",106294.70043489,105230.3406613,42060,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",122601.19869823,105337.73106572,42061,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",149197.14262408,105881.05814658,42062,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",154022.48919268,105979.71702883,42063,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",156289.5826413,106027.35951051,42064,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",157199.52005869,67401.09109127,42065,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",158023.78291805,28703.47174976,42066,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",100383.50567679,27896.86965952,42067,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",100013.81405013,27894.58200167,42068,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",99470.04783232,63349.561143,42069,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",99205.17600112,66526.45194832,42070,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brown",38101,640972,0.06,1682,"Glacial Lakes & Prairies","46013",98639.76430025,105154.3036073,42071,FALSE,1,"46013.1","SD","South Dakota","Brown County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",47672.86993074,-143790.02579867,42072,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",47361.32079036,-136082.02533728,42073,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",55261.16822442,-127058.15941189,42074,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",51580.95698174,-118286.70455743,42075,FALSE,1,"46015.1","SD","South Dakota","Brule County"
"Brule",5242,132710,0.04,2532,"Missouri River","46015",85920.55194244,-117838.67022635,42076,FALSE,1,"46015.1","SD","South Dakota","Brule County"
