city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Black Hawk,2020,24449,0.054878744582353,Meade,44.17141,-103.32792
Black Hawk,2021,26667,0.052900998633351,Meade,44.17141,-103.32792
Blunt,2019,7128,0.023007527411759,Hughes,44.50371,-99.99506
Blunt,2020,6771,0.026584732578130,Hughes,44.50371,-99.99506
Blunt,2021,7349,0.025064542813080,Hughes,44.50371,-99.99506
Bonesteel,2019,12919,0.158695958836744,Gregory,43.08952,-98.95018
Bonesteel,2020,14605,0.178695577230619,Gregory,43.08952,-98.95018
Bonesteel,2021,11918,0.128919088702522,Gregory,43.08952,-98.95018
Bowdle,2019,5243,0.114438913115257,Edmunds,45.45419,-99.66356
Bowdle,2020,4254,0.113276186862782,Edmunds,45.45419,-99.66356
Bowdle,2021,6056,0.126390247540982,Edmunds,45.45419,-99.66356
Box Elder,2019,26569,0.010778451394177,Pennington,44.12715,-103.06704
Box Elder,2020,26052,0.012091735057358,Pennington,44.12715,-103.06704
Box Elder,2021,26338,0.011061265844994,Pennington,44.12715,-103.06704
Bradley,2019,1512,0.034374896405741,Clark,45.09655,-97.64174
Bradley,2020,1702,0.046057862087573,Clark,45.09655,-97.64174
Bradley,2021,1733,0.033703907388852,Clark,45.09655,-97.64174
Brandon,2019,113180,0.040218719444174,Minnehaha,43.58524,-96.58090
Brandon,2020,88693,0.046307744642894,Minnehaha,43.58524,-96.58090
Brandon,2021,108396,0.043361118385230,Minnehaha,43.58524,-96.58090
Brandt,2019,3435,0.058401283880784,Deuel,44.66753,-96.62958
Brandt,2020,2561,0.051278752662222,Deuel,44.66753,-96.62958
Brandt,2021,3061,0.064142658924671,Deuel,44.66753,-96.62958
Brentford,2019,0,0.000000000000000,Spink,45.15618,-98.32577
Brentford,2020,606,0.010961311839621,Spink,45.15618,-98.32577
Brentford,2021,280,0.004007230705240,Spink,45.15618,-98.32577
Bridgewater,2019,3182,0.065575304607650,Mccook,43.54957,-97.48059
Bridgewater,2020,4240,0.102495333595507,Mccook,43.54957,-97.48059
Bridgewater,2021,4202,0.110258949871528,Mccook,43.54957,-97.48059
Bristol,2019,4675,0.040358432145062,Day,45.32412,-97.77783
Bristol,2020,6177,0.067134270219185,Day,45.32412,-97.77783
Bristol,2021,3647,0.033888534422227,Day,45.32412,-97.77783
Britton,2019,23360,0.426402703915669,Marshall,45.80222,-97.73545
Britton,2020,18083,0.439820988774931,Marshall,45.80222,-97.73545
Britton,2021,23482,0.478295692867317,Marshall,45.80222,-97.73545
Brookings,2019,590816,1.301642821976260,Brookings,44.30305,-96.78879
