city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Bowdle,2021,6056,0.13,Edmunds,45.45419,-99.66356
Box Elder,2019,26569,0.01,Pennington,44.12715,-103.06704
Box Elder,2020,26052,0.01,Pennington,44.12715,-103.06704
Box Elder,2021,26338,0.01,Pennington,44.12715,-103.06704
Bradley,2019,1512,0.03,Clark,45.09655,-97.64174
Bradley,2020,1702,0.05,Clark,45.09655,-97.64174
Bradley,2021,1733,0.03,Clark,45.09655,-97.64174
Brandon,2019,113180,0.04,Minnehaha,43.58524,-96.5809
Brandon,2020,88693,0.05,Minnehaha,43.58524,-96.5809
Brandon,2021,108396,0.04,Minnehaha,43.58524,-96.5809
Brandt,2019,3435,0.06,Deuel,44.66753,-96.62958
Brandt,2020,2561,0.05,Deuel,44.66753,-96.62958
Brandt,2021,3061,0.06,Deuel,44.66753,-96.62958
Brentford,2019,0,0.00,Spink,45.15618,-98.32577
Brentford,2020,606,0.01,Spink,45.15618,-98.32577
Brentford,2021,280,0.00,Spink,45.15618,-98.32577
Bridgewater,2019,3182,0.07,Mccook,43.54957,-97.48059
Bridgewater,2020,4240,0.10,Mccook,43.54957,-97.48059
Bridgewater,2021,4202,0.11,Mccook,43.54957,-97.48059
Bristol,2019,4675,0.04,Day,45.32412,-97.77783
Bristol,2020,6177,0.07,Day,45.32412,-97.77783
Bristol,2021,3647,0.03,Day,45.32412,-97.77783
Britton,2019,23360,0.43,Marshall,45.80222,-97.73545
Britton,2020,18083,0.44,Marshall,45.80222,-97.73545
Britton,2021,23482,0.48,Marshall,45.80222,-97.73545
Brookings,2019,590816,1.30,Brookings,44.30305,-96.78879
Brookings,2020,304624,1.19,Brookings,44.30305,-96.78879
Brookings,2021,417625,1.21,Brookings,44.30305,-96.78879
Bruce,2019,11216,0.02,Brookings,44.46096,-96.90417
Bruce,2020,12039,0.05,Brookings,44.46096,-96.90417
Bruce,2021,8991,0.03,Brookings,44.46096,-96.90417
Bryant,2019,4405,0.05,Hamlin,44.59156,-97.4397
Bryant,2020,9165,0.12,Hamlin,44.59156,-97.4397
Bryant,2021,4872,0.07,Hamlin,44.59156,-97.4397
Buffalo,2019,24709,0.68,Harding,45.61688,-103.62856
Buffalo,2020,23050,0.67,Harding,45.61688,-103.62856
Buffalo,2021,20683,0.65,Harding,45.61688,-103.62856
Buffalo Gap,2019,2086,0.00,Custer,43.49139,-103.16055
Buffalo Gap,2020,1632,0.00,Custer,43.49139,-103.16055
Buffalo Gap,2021,1372,0.00,Custer,43.49139,-103.16055
Bullhead,2019,316,0.01,Corson,45.76904,-101.06562
Bullhead,2020,741,0.02,Corson,45.76904,-101.06562
Bullhead,2021,166,0.01,Corson,45.76904,-101.06562
Burbank,2019,15250,0.09,Clay,42.7879,-96.81926
Burbank,2020,16851,0.15,Clay,42.7879,-96.81926
