city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Barnard,2020,186,0.000558502170,Brown,1.0000000000000,0.0000000000000,40.18903,-94.85282
Barnard,2021,0,0.000000000000,Brown,0.6666666666667,0.3333333333333,40.18903,-94.85282
Batesland,2019,1619,0.030484482515,Oglala Lakota,0.9682539682540,0.0317460317460,43.06335,-102.21738
Batesland,2020,3193,0.111752803313,Oglala Lakota,0.9024390243902,0.0975609756098,43.06335,-102.21738
Batesland,2021,4397,0.093138597760,Oglala Lakota,0.9062500000000,0.0937500000000,43.06335,-102.21738
Bath,2019,4516,0.009972367359,Brown,0.9583333333333,0.0416666666667,45.47903,-98.33292
Bath,2020,1721,0.005171027083,Brown,0.9022556390977,0.0977443609023,45.47903,-98.33292
Bath,2021,2057,0.004621175636,Brown,0.8898305084746,0.1101694915254,45.47903,-98.33292
Belle Fourche,2019,90752,0.448137017527,Butte,0.9248568702290,0.0751431297710,44.6831,-103.86483
Belle Fourche,2020,85808,0.451736376640,Butte,0.8967862776025,0.1032137223975,44.6831,-103.86483
Belle Fourche,2021,95400,0.511892589425,Butte,0.8486435030938,0.1513564969062,44.6831,-103.86483
Belvidere,2019,4805,0.026467407177,Jackson,0.9112903225806,0.0887096774194,43.81049,-101.20332
Belvidere,2020,6065,0.035820474648,Jackson,0.8818897637795,0.1181102362205,43.81049,-101.20332
Belvidere,2021,5940,0.033649617683,Jackson,0.8429319371728,0.1570680628272,43.81049,-101.20332
Beresford,2019,56930,0.243417893349,Union,0.9231343283582,0.0768656716418,43.09871,-96.78995
Beresford,2020,46096,0.267764790942,Union,0.8940460947503,0.1059539052497,43.09871,-96.78995
Beresford,2021,54257,0.266619650142,Union,0.8604402650139,0.1395597349861,43.09871,-96.78995
Big Stone City,2019,25630,0.241252844877,Grant,0.8890449438202,0.1109550561798,45.29459,-96.5082
Big Stone City,2020,29996,0.348418639634,Grant,0.8773773773774,0.1226226226226,45.29459,-96.5082
